queue_id,queued_at,source,outcome,duration,requested_media_type
68058f1a9c69,27/02/21 15:42,tab,canceled,10,text
68058f1a9c69,27/02/21 15:43,button_embed,disconnected,109,text
68058f1a9c69,27/02/21 15:44,button_embed,canceled,19,text
68058f1a9c69,27/02/21 15:44,button_embed,disconnected,296,text
68058f1a9c69,27/02/21 15:46,button_embed,finished,386,text
68058f1a9c69,27/02/21 15:46,button_embed,canceled,16,text
68058f1a9c69,27/02/21 15:46,button_embed,finished,411,text
68058f1a9c69,27/02/21 15:46,button_embed,finished,650,text
68058f1a9c69,27/02/21 15:46,button_embed,disconnected,98,text
68058f1a9c69,27/02/21 15:46,button_embed,canceled,3,text
68058f1a9c69,27/02/21 15:47,button_embed,disconnected,966,text
68058f1a9c69,27/02/21 15:47,button_embed,canceled,916,text
68058f1a9c69,27/02/21 15:48,button_embed,disconnected,168,text
68058f1a9c69,27/02/21 15:48,button_embed,disconnected,152,text
68058f1a9c69,27/02/21 15:50,button_embed,disconnected,153,text
68058f1a9c69,27/02/21 15:50,button_embed,finished,568,text
68058f1a9c69,27/02/21 15:50,button_embed,disconnected,115,text
68058f1a9c69,27/02/21 15:51,tab,canceled,9,text
68058f1a9c69,27/02/21 15:52,tab,finished,532,text
68058f1a9c69,27/02/21 15:53,button_embed,canceled,95,text
68058f1a9c69,27/02/21 15:53,button_embed,canceled,32,text
68058f1a9c69,27/02/21 15:53,tab,canceled,7,text
68058f1a9c69,27/02/21 15:54,button_embed,finished,363,text
68058f1a9c69,27/02/21 15:54,button_embed,finished,737,text
68058f1a9c69,27/02/21 15:54,button_embed,canceled,3,text
68058f1a9c69,27/02/21 15:54,button_embed,finished,552,text
68058f1a9c69,27/02/21 15:54,button_embed,canceled,11,text
68058f1a9c69,27/02/21 15:55,tab,finished,713,text
68058f1a9c69,27/02/21 15:55,button_embed,disconnected,62,text
68058f1a9c69,27/02/21 15:55,tab,disconnected,374,text
68058f1a9c69,27/02/21 15:55,button_embed,disconnected,122,text
68058f1a9c69,27/02/21 15:57,button_embed,canceled,9,text
68058f1a9c69,27/02/21 15:58,button_embed,canceled,46,text
68058f1a9c69,27/02/21 15:59,tab,finished,464,text
68058f1a9c69,27/02/21 16:00,button_embed,disconnected,110,text
68058f1a9c69,27/02/21 16:01,button_embed,disconnected,182,text
68058f1a9c69,27/02/21 16:02,button_embed,canceled,50,text
68058f1a9c69,27/02/21 16:02,button_embed,finished,760,text
68058f1a9c69,27/02/21 16:02,button_embed,canceled,35,text
68058f1a9c69,27/02/21 16:02,button_embed,disconnected,366,text
68058f1a9c69,27/02/21 16:03,button_embed,disconnected,228,text
68058f1a9c69,27/02/21 16:03,button_embed,canceled,12,text
68058f1a9c69,27/02/21 16:04,button_embed,canceled,26,text
68058f1a9c69,27/02/21 16:05,button_embed,disconnected,259,text
68058f1a9c69,27/02/21 16:05,button_embed,canceled,13,text
68058f1a9c69,27/02/21 16:06,button_embed,finished,409,text
68058f1a9c69,27/02/21 16:06,button_embed,disconnected,59,text
68058f1a9c69,27/02/21 16:06,button_embed,disconnected,180,text
68058f1a9c69,27/02/21 16:07,button_embed,canceled,14,text
68058f1a9c69,27/02/21 16:07,tab,canceled,9,text
68058f1a9c69,27/02/21 16:07,button_embed,finished,388,text
68058f1a9c69,27/02/21 16:07,button_embed,disconnected,121,text
68058f1a9c69,27/02/21 16:08,button_embed,disconnected,76,text
68058f1a9c69,27/02/21 16:08,button_embed,disconnected,593,text
68058f1a9c69,27/02/21 16:08,button_embed,canceled,10,text
68058f1a9c69,27/02/21 16:08,button_embed,finished,327,text
68058f1a9c69,27/02/21 16:09,button_embed,canceled,6,text
68058f1a9c69,27/02/21 16:09,button_embed,canceled,30,text
68058f1a9c69,27/02/21 16:09,button_embed,finished,926,text
68058f1a9c69,27/02/21 16:09,button_embed,finished,639,text
68058f1a9c69,27/02/21 16:10,button_embed,disconnected,183,text
68058f1a9c69,27/02/21 16:11,tab,disconnected,338,text
68058f1a9c69,27/02/21 16:11,button_embed,canceled,16,text
68058f1a9c69,27/02/21 16:11,button_embed,finished,655,text
68058f1a9c69,27/02/21 16:11,tab,finished,868,text
68058f1a9c69,27/02/21 16:12,button_embed,canceled,53,text
68058f1a9c69,27/02/21 16:12,tab,finished,408,text
68058f1a9c69,27/02/21 16:13,button_embed,canceled,294,text
68058f1a9c69,27/02/21 16:13,button_embed,canceled,15,text
68058f1a9c69,27/02/21 16:13,button_embed,canceled,336,text
68058f1a9c69,27/02/21 16:15,button_embed,finished,767,text
68058f1a9c69,27/02/21 16:15,button_embed,finished,771,text
68058f1a9c69,27/02/21 16:15,button_embed,disconnected,232,text
68058f1a9c69,27/02/21 16:15,button_embed,disconnected,181,text
68058f1a9c69,27/02/21 16:16,button_embed,disconnected,553,text
68058f1a9c69,27/02/21 16:16,button_embed,finished,1113,text
68058f1a9c69,27/02/21 16:17,button_embed,disconnected,111,text
68058f1a9c69,27/02/21 16:17,button_embed,canceled,726,text
68058f1a9c69,27/02/21 16:17,button_embed,canceled,5,text
68058f1a9c69,27/02/21 16:17,button_embed,canceled,31,text
68058f1a9c69,27/02/21 16:18,button_embed,disconnected,579,text
68058f1a9c69,27/02/21 16:18,button_embed,disconnected,429,text
68058f1a9c69,27/02/21 16:18,button_embed,disconnected,119,text
68058f1a9c69,27/02/21 16:18,button_embed,canceled,23,text
68058f1a9c69,27/02/21 16:19,button_embed,canceled,931,text
68058f1a9c69,27/02/21 16:19,tab,canceled,14,text
68058f1a9c69,27/02/21 16:20,button_embed,disconnected,356,text
68058f1a9c69,27/02/21 16:21,button_embed,finished,466,text
68058f1a9c69,27/02/21 16:22,button_embed,canceled,6,text
68058f1a9c69,27/02/21 16:22,tab,canceled,55,text
68058f1a9c69,27/02/21 16:24,button_embed,canceled,300,text
68058f1a9c69,27/02/21 16:24,button_embed,disconnected,650,text
68058f1a9c69,27/02/21 16:25,button_embed,disconnected,224,text
68058f1a9c69,27/02/21 16:25,button_embed,disconnected,73,text
68058f1a9c69,27/02/21 16:26,button_embed,canceled,122,text
68058f1a9c69,27/02/21 16:26,button_embed,finished,1743,text
68058f1a9c69,27/02/21 16:27,button_embed,disconnected,246,text
68058f1a9c69,27/02/21 16:27,button_embed,disconnected,90,text
68058f1a9c69,27/02/21 16:28,tab,canceled,21,text
68058f1a9c69,27/02/21 16:28,tab,finished,1258,text
68058f1a9c69,27/02/21 16:28,button_embed,finished,1096,text
68058f1a9c69,27/02/21 16:28,button_embed,canceled,308,text
68058f1a9c69,27/02/21 16:29,button_embed,canceled,38,text
68058f1a9c69,27/02/21 16:29,tab,finished,1225,text
68058f1a9c69,27/02/21 16:29,button_embed,canceled,14,text
68058f1a9c69,27/02/21 16:31,button_embed,canceled,7,text
68058f1a9c69,27/02/21 16:31,button_embed,canceled,47,text
68058f1a9c69,27/02/21 16:32,tab,canceled,23,text
68058f1a9c69,27/02/21 16:32,button_embed,canceled,28,text
68058f1a9c69,27/02/21 16:32,button_embed,canceled,8,text
68058f1a9c69,27/02/21 16:33,button_embed,canceled,13,text
68058f1a9c69,27/02/21 16:34,tab,canceled,18,text
68058f1a9c69,27/02/21 16:34,button_embed,canceled,10,text
68058f1a9c69,27/02/21 16:35,button_embed,canceled,639,text
68058f1a9c69,27/02/21 16:35,button_embed,disconnected,471,text
68058f1a9c69,27/02/21 16:35,button_embed,canceled,23,text
68058f1a9c69,27/02/21 16:36,button_embed,disconnected,406,text
68058f1a9c69,27/02/21 16:36,button_embed,canceled,24,text
68058f1a9c69,27/02/21 16:38,button_embed,disconnected,95,text
68058f1a9c69,27/02/21 16:38,button_embed,finished,853,text
68058f1a9c69,27/02/21 16:38,tab,finished,1188,text
68058f1a9c69,27/02/21 16:38,tab,finished,999,text
68058f1a9c69,27/02/21 16:39,button_embed,disconnected,327,text
68058f1a9c69,27/02/21 16:39,button_embed,canceled,13,text
68058f1a9c69,27/02/21 16:39,button_embed,canceled,10,text
68058f1a9c69,27/02/21 16:39,tab,finished,440,text
68058f1a9c69,27/02/21 16:39,button_embed,canceled,46,text
68058f1a9c69,27/02/21 16:39,button_embed,disconnected,593,text
68058f1a9c69,27/02/21 16:40,button_embed,canceled,9,text
68058f1a9c69,27/02/21 16:40,button_embed,canceled,37,text
68058f1a9c69,27/02/21 16:41,button_embed,canceled,8,text
68058f1a9c69,27/02/21 16:41,tab,canceled,545,text
68058f1a9c69,27/02/21 16:42,button_embed,disconnected,152,text
68058f1a9c69,27/02/21 16:42,button_embed,disconnected,224,text
68058f1a9c69,27/02/21 16:42,button_embed,canceled,216,text
68058f1a9c69,27/02/21 16:43,button_embed,canceled,303,text
68058f1a9c69,27/02/21 16:43,button_embed,finished,983,text
68058f1a9c69,27/02/21 16:44,button_embed,canceled,11,text
68058f1a9c69,27/02/21 16:44,button_embed,canceled,1387,text
68058f1a9c69,27/02/21 16:44,button_embed,canceled,17,text
68058f1a9c69,27/02/21 16:45,button_embed,disconnected,280,text
68058f1a9c69,27/02/21 16:45,tab,finished,560,text
68058f1a9c69,27/02/21 16:46,button_embed,canceled,12,text
68058f1a9c69,27/02/21 16:47,button_embed,canceled,4,text
68058f1a9c69,27/02/21 16:47,tab,finished,1106,text
68058f1a9c69,27/02/21 16:49,tab,finished,845,text
68058f1a9c69,27/02/21 16:50,button_embed,canceled,28,text
68058f1a9c69,27/02/21 16:50,tab,canceled,73,text
68058f1a9c69,27/02/21 16:50,button_embed,disconnected,85,text
68058f1a9c69,27/02/21 16:51,button_embed,canceled,3,text
68058f1a9c69,27/02/21 16:51,tab,canceled,48,text
68058f1a9c69,27/02/21 16:52,button_embed,disconnected,413,text
68058f1a9c69,27/02/21 16:53,tab,finished,1685,text
68058f1a9c69,27/02/21 16:53,tab,finished,1472,text
68058f1a9c69,27/02/21 16:53,tab,canceled,13,text
68058f1a9c69,27/02/21 16:54,button_embed,disconnected,127,text
68058f1a9c69,27/02/21 16:54,button_embed,disconnected,139,text
68058f1a9c69,27/02/21 16:54,button_embed,canceled,12,text
68058f1a9c69,27/02/21 16:56,button_embed,disconnected,204,text
68058f1a9c69,27/02/21 16:57,tab,canceled,23,text
68058f1a9c69,27/02/21 16:57,button_embed,canceled,16,text
68058f1a9c69,27/02/21 16:58,tab,canceled,91,text
68058f1a9c69,27/02/21 16:58,button_embed,disconnected,954,text
68058f1a9c69,27/02/21 16:58,tab,canceled,6,text
68058f1a9c69,27/02/21 16:58,button_embed,disconnected,906,text
68058f1a9c69,27/02/21 16:59,button_embed,disconnected,380,text
68058f1a9c69,27/02/21 17:00,button_embed,finished,908,text
68058f1a9c69,27/02/21 17:01,tab,disconnected,989,text
68058f1a9c69,27/02/21 17:01,button_embed,disconnected,125,text
68058f1a9c69,27/02/21 17:01,button_embed,canceled,4,text
68058f1a9c69,27/02/21 17:02,button_embed,canceled,5,text
68058f1a9c69,27/02/21 17:03,button_embed,canceled,5,text
68058f1a9c69,27/02/21 17:03,button_embed,disconnected,957,text
68058f1a9c69,27/02/21 17:03,tab,finished,1024,text
68058f1a9c69,27/02/21 17:03,button_embed,disconnected,371,text
68058f1a9c69,27/02/21 17:04,button_embed,disconnected,848,text
68058f1a9c69,27/02/21 17:05,button_embed,canceled,72,text
68058f1a9c69,27/02/21 17:05,button_embed,canceled,3,text
68058f1a9c69,27/02/21 17:05,button_embed,disconnected,151,text
68058f1a9c69,27/02/21 17:06,button_embed,disconnected,517,text
68058f1a9c69,27/02/21 17:06,button_embed,canceled,113,text
68058f1a9c69,27/02/21 17:09,button_embed,canceled,61,text
68058f1a9c69,27/02/21 17:09,button_embed,disconnected,459,text
68058f1a9c69,27/02/21 17:10,button_embed,canceled,43,text
68058f1a9c69,27/02/21 17:10,tab,disconnected,366,text
68058f1a9c69,27/02/21 17:10,button_embed,disconnected,486,text
68058f1a9c69,27/02/21 17:12,tab,finished,425,text
68058f1a9c69,27/02/21 17:15,button_embed,disconnected,450,text
68058f1a9c69,27/02/21 17:15,button_embed,canceled,126,text
68058f1a9c69,27/02/21 17:15,button_embed,disconnected,60,text
68058f1a9c69,27/02/21 17:15,button_embed,canceled,13,text
68058f1a9c69,27/02/21 17:16,tab,finished,1044,text
68058f1a9c69,27/02/21 17:16,button_embed,canceled,16,text
68058f1a9c69,27/02/21 17:17,button_embed,disconnected,130,text
68058f1a9c69,27/02/21 17:19,button_embed,canceled,3,text
68058f1a9c69,27/02/21 17:20,button_embed,disconnected,73,text
68058f1a9c69,27/02/21 17:20,button_embed,canceled,456,text
68058f1a9c69,27/02/21 17:21,tab,finished,632,text
68058f1a9c69,27/02/21 17:21,button_embed,disconnected,204,text
68058f1a9c69,27/02/21 17:21,button_embed,canceled,35,text
68058f1a9c69,27/02/21 17:21,button_embed,canceled,9,text
68058f1a9c69,27/02/21 17:22,button_embed,disconnected,287,text
68058f1a9c69,27/02/21 17:22,button_embed,finished,1253,text
68058f1a9c69,27/02/21 17:22,button_embed,canceled,71,text
68058f1a9c69,27/02/21 17:24,tab,disconnected,172,text
68058f1a9c69,27/02/21 17:24,button_embed,disconnected,248,text
68058f1a9c69,27/02/21 17:24,button_embed,canceled,4,text
68058f1a9c69,27/02/21 17:24,button_embed,disconnected,319,text
68058f1a9c69,27/02/21 17:25,button_embed,canceled,13,text
68058f1a9c69,27/02/21 17:25,tab,canceled,14,text
68058f1a9c69,27/02/21 17:25,tab,finished,1537,text
68058f1a9c69,27/02/21 17:26,button_embed,disconnected,216,text
68058f1a9c69,27/02/21 17:26,button_embed,canceled,6,text
68058f1a9c69,27/02/21 17:30,tab,canceled,91,text
68058f1a9c69,27/02/21 17:30,tab,finished,777,text
68058f1a9c69,27/02/21 17:30,button_embed,canceled,54,text
68058f1a9c69,27/02/21 17:31,button_embed,disconnected,1049,text
68058f1a9c69,27/02/21 17:32,tab,canceled,25,text
68058f1a9c69,27/02/21 17:32,button_embed,canceled,199,text
68058f1a9c69,27/02/21 17:33,button_embed,disconnected,1419,text
68058f1a9c69,27/02/21 17:34,tab,finished,921,text
68058f1a9c69,27/02/21 17:34,button_embed,canceled,8,text
68058f1a9c69,27/02/21 17:34,button_embed,canceled,5,text
68058f1a9c69,27/02/21 17:34,button_embed,disconnected,737,text
68058f1a9c69,27/02/21 17:34,button_embed,canceled,19,text
68058f1a9c69,27/02/21 17:35,button_embed,canceled,249,text
68058f1a9c69,27/02/21 17:36,button_embed,canceled,44,text
68058f1a9c69,27/02/21 17:36,button_embed,disconnected,322,text
68058f1a9c69,27/02/21 17:36,tab,canceled,53,text
68058f1a9c69,27/02/21 17:36,tab,finished,812,text
68058f1a9c69,27/02/21 17:37,button_embed,disconnected,346,text
68058f1a9c69,27/02/21 17:38,button_embed,canceled,14,text
68058f1a9c69,27/02/21 17:38,button_embed,canceled,27,text
68058f1a9c69,27/02/21 17:38,button_embed,disconnected,245,text
68058f1a9c69,27/02/21 17:38,tab,disconnected,1155,text
68058f1a9c69,27/02/21 17:38,tab,disconnected,216,text
68058f1a9c69,27/02/21 17:39,button_embed,disconnected,387,text
68058f1a9c69,27/02/21 17:39,button_embed,disconnected,268,text
68058f1a9c69,27/02/21 17:40,button_embed,disconnected,128,text
68058f1a9c69,27/02/21 17:41,button_embed,disconnected,676,text
68058f1a9c69,27/02/21 17:42,button_embed,canceled,23,text
68058f1a9c69,27/02/21 17:42,button_embed,disconnected,233,text
68058f1a9c69,27/02/21 17:43,button_embed,canceled,64,text
68058f1a9c69,27/02/21 17:43,button_embed,disconnected,74,text
68058f1a9c69,27/02/21 17:43,tab,canceled,5,text
68058f1a9c69,27/02/21 17:44,tab,finished,262,text
68058f1a9c69,27/02/21 17:44,button_embed,canceled,10,text
68058f1a9c69,27/02/21 17:44,button_embed,finished,538,text
68058f1a9c69,27/02/21 17:46,button_embed,disconnected,136,text
68058f1a9c69,27/02/21 17:46,button_embed,canceled,17,text
68058f1a9c69,27/02/21 17:47,button_embed,canceled,154,text
68058f1a9c69,27/02/21 17:47,button_embed,disconnected,479,text
68058f1a9c69,27/02/21 17:47,button_embed,disconnected,150,text
68058f1a9c69,27/02/21 17:48,button_embed,disconnected,1252,text
68058f1a9c69,27/02/21 17:48,button_embed,disconnected,169,text
68058f1a9c69,27/02/21 17:49,button_embed,canceled,14,text
68058f1a9c69,27/02/21 17:50,button_embed,canceled,45,text
68058f1a9c69,27/02/21 17:50,tab,canceled,524,text
68058f1a9c69,27/02/21 17:51,button_embed,finished,378,text
68058f1a9c69,27/02/21 17:52,button_embed,canceled,8,text
68058f1a9c69,27/02/21 17:52,button_embed,canceled,7,text
68058f1a9c69,27/02/21 17:52,button_embed,disconnected,401,text
68058f1a9c69,27/02/21 17:53,button_embed,disconnected,87,text
68058f1a9c69,27/02/21 17:53,button_embed,canceled,7,text
68058f1a9c69,27/02/21 17:53,button_embed,canceled,4,text
